no,ponpes,text_combined,sentimen_lexicon,aspek_manual
719,Ponpes Salafiyah Parappe,allah moga semua santri n santriwati lolos tobaqo lanjut nya naik utama putri aamiin allah laksana uji alih thobaqoh tahap ii,Positif,Motivasi/Spiritual
462,Ponpes Syekh Hasan Yamani,Kelas Apam Liput Video Uji Lisan Putra,Negatif,Motivasi/Spiritual
494,Ponpes Syekh Hasan Yamani,izin share recap vidio maulid pondok pesantren syekh hasan yamani,Negatif,Kegiatan Pondok
409,Ponpes Syekh Hasan Yamani,tetap semangat komando liput hiking atas udara,Negatif,Lingkungan
22,PPM AL-Ikhlash Lampoko,selamat nak lubnah maysuri doa selalu panjang umur alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Motivasi/Spiritual
"159,PPM AL-Ikhlash Lampoko,""Haha, jdi ingat waktu pondok pura-pura sakit,"",Negatif,Motivasi/Spiritual"
413,Ponpes Syekh Hasan Yamani,Selamat ulang tahun anak solehku fahmih fahrezy latih scout,Negatif,Fasilitas
442,Ponpes Syekh Hasan Yamani,Innalillahi wainnailaihi rojiun... ...un... ...un... ...tinggal anak-anak alumni salihah puspawati.,Negatif,Pembinaan Karakter
327,PPM AL-Ikhlash Lampoko,masyah allah pilih ketua ospi tahun,Positif,Motivasi/Spiritual
152,PPM AL-Ikhlash Lampoko,Tanding putri-ke-pencakur live,Positif,Kualitas Guru
592,Ponpes Syekh Hasan Yamani,muroj aah ajar bukan ajar muroja ah muroja ah al a mmah tolak ukur paham kuasa ajar,Negatif,Fasilitas
421,Ponpes Syekh Hasan Yamani,masyaallah semangat anak sholeh waktu tualang,Negatif,Kegiatan Pondok
428,Ponpes Syekh Hasan Yamani,innalillahi wainnailaihi rojiun moga husnul khotimah tinggal anak santriwati alumni salihah puspawati,Negatif,Pembinaan Karakter
339,PPM AL-Ikhlash Lampoko,masya allah moga pak ustad ihsan zainuddin senantiasa selalu beri sehat selamat sukses pimpin pondok pesantren modern al ikhlash lampoko ust ihsan zainuddin lc dipl telah pilih serta daurah didik intensif universitas ummul quro mek,Positif,Kegiatan Pondok
139,PPM AL-Ikhlash Lampoko,Dpn kamera ki dulu e mau screenshot i tanding antar putri bela diri tanding,Positif,Kualitas Guru
98,PPM AL-Ikhlash Lampoko,titah ramadhani tutu tanding pencak silat antar putri live,Positif,Kualitas Guru
738,Ponpes Salafiyah Parappe,Amiin akan laksana pada uji coba ketidakberesan thobaqoh tahap ii pada tanggal november,Negatif,Motivasi/Spiritual
758,Ponpes Salafiyah Parappe,aamiin selamat ulang tahun negara cinta indonesia moga tetap jadi negara aman damai limpah barokah,Positif,Kegiatan Pondok
490,Ponpes Syekh Hasan Yamani,Maasyaallah tabarakallah view atas udara Acara Giat Apresiasi Seni Santri Panggung Gembira,Negatif,Lingkungan
133,PPM AL-Ikhlash Lampoko,anna ki tanding nah tanding pencak silat antar putri live,Positif,Kualitas Guru
778,Ponpes Salafiyah Parappe,amiin allahhuma amiin mulia hari hari mulia moga allah mulia kita dengan baik dunia akhirat,Positif,Prestasi
679,Ponpes Salafiyah Parappe, selamat hari guru guru hebat indonesia kuat,Positif,Sosial
113,PPM AL-Ikhlash Lampoko,Semangatq anak soleha xd jaga kesehatan tanding antar putri live,Positif,Kualitas Guru
498,Ponpes Syekh Hasan Yamani,Aamiin... ...berkah jaya selalu... ...pondok syech hasan yamani,Positif,Kegiatan Pondok
289,PPM AL-Ikhlash Lampoko,masya allah selamat ananda tiga tetaplsh amanah selamat alumni santri ppm al ikhlash lampoko atas kelulus uji bintara polisi,Positif,Umum
311,PPM AL-Ikhlash Lampoko,insyaallah pak dusun ceramah safari ramadhani fahmi,Positif,Pembinaan Karakter
276,PPM AL-Ikhlash Lampoko,selamat buat dua moga jadi anak sukses santri ppm al ikhlash tuju universitas al azhar mesir,Negatif,Umum
125,PPM AL-Ikhlash Lampoko,kakak semangat tanding pencak silat antar putri live,Positif,Kualitas Guru
467,Ponpes Syekh Hasan Yamani,Masyaallah anak shaleh shalehah smoga ujianx lancar aamiin uji tuju latih mampu bahasa arab inggris,Negatif,Prestasi
765,Ponpes Salafiyah Parappe,Masya allah galeri buka porseni antar putri pondok salafiyah parappe putri tema kompak kompetisi ukir prestasi bangun karakter islami,Negatif,Akademik
680,Ponpes Salafiyah Parappe,Happy teacher day selamat hari guru guru hebat Indonesia kuat,Positif,Sosial
529,Ponpes Syekh Hasan Yamani,masya allah mtq nasional kategori tilawah anak anak syahruddin,Negatif,Kegiatan Pondok
"476,Ponpes Syekh Hasan Yamani,""Masyaallah, mengahx view atas udara acara rutinitas seni pertunjukan siswa panggung gembira"",Negatif,Lingkungan"
37,PPM AL-Ikhlash Lampoko,masya allah amma yoyo smg sehat sll selamat hari ibu,Positif,Kegiatan Pondok
741,Ponpes Salafiyah Parappe,moga seluruh santri beri mudah uji sebentar akan laksana uji peralahan thobaqoh tahap ii tanggal november,Negatif,Motivasi/Spiritual
354,Ponpes Syekh Hasan Yamani,amiiin ke asrama lingkung didik agama,Negatif,Sosial
"334,PPM AL-Ikhlash Lampoko,""Selamat sukses pimpin pondok modern al ikhlash lampoko, ust ihsan zainuddin, Lc.D.l., memilih serta melaksanakan pendidikan intensif di universitas ummul quro mek"",Positif,Kegiatan Pondok"
390,Ponpes Syekh Hasan Yamani,Ubur-ubur ikan lele ayo hasan yamani leee,Netral,Akademik
235,PPM AL-Ikhlash Lampoko,alhamdulillah mantap alhamdulilah smps al ikhlash lampoko juara ajang lomba gerak jalan,Positif,Umum
"650,Ponpes Salafiyah Parappe,""Masya allah laksana, uji thobaqoh tahap iii di laboratorium ihya ulumuddin selenggara pada bulan februari,"",Positif,Fasilitas"
489,Ponpes Syekh Hasan Yamani,Semangat anak q semoaga sehat slalu dalam sana doa serta selalu view atas udara acara pentas seni seni santi panggung gembira,Negatif,Lingkungan
770,Ponpes Salafiyah Parappe,aamiin mulia hari hari mulia moga allah mulia kita dengan baik dunia akhirat,Positif,Prestasi
681,Ponpes Salafiyah Parappe,alhamdulillah moga anak anak ku lulus tobaqah lanjut lebih tingkat yang blum lulus lebih giat lgi ajar moga uji tahap ikut lulus galeri umum hasil uji thobaqoh tahap ii madrasah ihya ulumiddin putri,Positif,Fasilitas
"764,Ponpes Salafiyah Parappe,""Moga allah selalu mendapat berkah dan sehat selalu, sukses selalu, anak dan semua murid pp salapiyah parappe amiin yaa allah seremonial pembukaan porseni antar alumni salafiyah parappe"",Positif,Kegiatan Pondok"
294,PPM AL-Ikhlash Lampoko,masya allah alhamdulillah selamat sukses para santri telah selesai target hafal program tahfizhul qur an,Positif,Kegiatan Pondok
790,Ponpes Salafiyah Parappe,Mas syaa allaah sehatki semua nak antara adam putri alhamdulillah galeri buka taaruf parappe putri baru,Negatif,Kegiatan Pondok
"441,Ponpes Syekh Hasan Yamani,""Innalillahi wainna ilaihi rojiun, anak-anak yatim alumni Salihah Puspawati"",Negatif,Pembinaan Karakter"
83,PPM AL-Ikhlash Lampoko,Rifka tanding putri - Pencakur Salju antar Putri Live,Positif,Kualitas Guru
365,Ponpes Syekh Hasan Yamani,Moga anak-anak istiqomah ibadah di rumah maupun di pondok aamiin selamat libur siswa siswa hebat phy,Positif,Kegiatan Pondok
710,Ponpes Salafiyah Parappe,Assalamualaikum xd dar masuk ustadzah mungkin hasil uji anak kirim grup wa wali murid wali murid wali murid wali murid wali murid utama pribadi ustadzah penasaran hasil uji anak xd syukron ustadzah uji alih thobaqoh tahap ii ihya ulumiddin uji tulis,Negatif,Fasilitas
109,PPM AL-Ikhlash Lampoko,Up-Tanding Pencak Salju Antar Putri Live,Positif,Kualitas Guru
355,Ponpes Syekh Hasan Yamani,insyaallah azwar siap siap siap balik pondok aja nih tas kemas cemilan aman tinggal bawa semangat aja,Negatif,Umum
47,PPM AL-Ikhlash Lampoko,selamat hari guru seluruh guru guru guru guru semua berkat bimbing hari kami sempat sama ustads ustadzah damping santri santriwati pondok pesantren modern al ikhlash moga nila ibadah sisi allah swt senantiasa limpah rahmat hidayah kita semua santri ppm al ikhlash gelar upacara ingat hari guru nasional,Positif,Kegiatan Pondok
555,Ponpes Syekh Hasan Yamani,semangat trus anakq smoga kelak kalian jadi anak sukses insya allah xd amiiiiiiin uji tulis,Positif,Fasilitas
582,Ponpes Syekh Hasan Yamani,sukses selalu santri santriwati pondok pesantren syekh hasan yamani moga selalu berkah selalu kreatif highlight one night with santri pondok pesantren syekh hasan yamani,Positif,Kegiatan Pondok
422,Ponpes Syekh Hasan Yamani,calon komando vidio hiking santri putra,Netral,Motivasi/Spiritual
"243,PPM AL-Ikhlash Lampoko,""Salut sama latih, alhamdulillah sipipi rempong bayar rasa capek, alhamdulilah smps al ikhlash lampoko juara 1 lomba gerak jalan"",Positif,Umum"
24,PPM AL-Ikhlash Lampoko,selamat atas nama muslim ketua ospi putra alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual
336,PPM AL-Ikhlash Lampoko,selamat sukses ustadz selamat sukses pimpin pondok pesantren modern al ikhlash lampoko ust ihsan zainuddin lc dipl telah pilih serta daurah didik intensif universitas ummul quro mek,Positif,Kegiatan Pondok
131,PPM AL-Ikhlash Lampoko,siapa menang ustadz tanding pencak silat antar putri live,Positif,Kualitas Guru
462,Ponpes Syekh Hasan Yamani,kelas apam liput vidio uji lisan putra,Negatif,Motivasi/Spiritual
641,Ponpes Salafiyah Parappe,balik kampung libur tiba,Netral,Kualitas Guru
738,Ponpes Salafiyah Parappe,amiin sebentar akan laksana uji peralahan thobaqoh tahap ii tanggal november,Negatif,Motivasi/Spiritual
557,Ponpes Syekh Hasan Yamani,Sehat selalu untuk ustdzah xd selamat datang di pondok tercintah selamat datang para siswa dan alumni baru dari pondok syech hasan yamani,Negatif,Kegiatan Pondok
"775,Ponpes Salafiyah Parappe,""Aamiin, hari hari yang mulia, moga allah kita mulia dunia akhirat,"",Positif,Prestasi"
191,PPM AL-Ikhlash Lampoko,Masya Allah anak sholehah selalu menang dalam perlombaan gerak jalan tingkat kabupaten,Positif,Umum
372,Ponpes Syekh Hasan Yamani,moga libur ramadhan nya penuh dg ibadah bawa berkah buat anakda ustz dn ortu libur ramadhan makin dekat,Positif,Kualitas Guru
"465,Ponpes Syekh Hasan Yamani,""Semangat nak, moga latihan hapalanx lancar, aamiin...uji tuju latih mampu bahasa arab"",Negatif,Prestasi"
551,Ponpes Syekh Hasan Yamani,Semangat dek uji tulis,Netral,Fasilitas
585,Ponpes Syekh Hasan Yamani,Masya allah istoghosah dalam rangka memperingati Hari Santri Nasional di pondok syech hasan yamani,Negatif,Kegiatan Pondok
258,PPM AL-Ikhlash Lampoko,spil tempat dewan guru nya min suasana upacara agustus,Positif,Umum
604,Ponpes Syekh Hasan Yamani,aamiin insya allah sukses madrasah fest jakarta wakil sulawesi barat,Positif,Fasilitas
761,Ponpes Salafiyah Parappe,Masyaallahhh seremonial pembukaan porseni antar alumni Salafiyah Parappe,Negatif,Kegiatan Pondok
630,Ponpes Syekh Hasan Yamani,masya allah murobbi gurunda tuan guru ust abdul shomad murobbi kiyai amin said al mahdal,Positif,Sosial
5,PPM AL-Ikhlash Lampoko,Masyaallah alhamdulillah ananda muh dzaki as syafiq laksana tasmi al-qur an pukul 10.00 sore di Ponpes Modern Al Ikhlas,Positif,Umum
"798,Ponpes Salafiyah Parappe,""Masya allah anak syaleha semua, moga dpt menjadi cermin bagi adik adikx musyawarah kitab fathul qorib antar muridwati thobaqoh fathul qorib fathul mu in pdf ulya"",Negatif,Motivasi/Spiritual"
21,PPM AL-Ikhlash Lampoko,mantap pilih milu alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Motivasi/Spiritual
105,PPM AL-Ikhlash Lampoko,Coba lihat dulu rifka nak mau liat bpkx tiba dr mamuju rindu tanding pendekar antar putri live,Negatif,Kualitas Guru
