no,nama,kalimat,tema_postingan,ponpes,sentiment_class,sentiment_score,aspek_manual,text_for_rnn
1,Iyya Fhia,MasyaAllah,SANTRI PPM AL-IKHLASH SERAHKAN BANTUAN UNTUK KORBAN KEBAKARAN DI DESA BONNE-BONNE,PPM AL-Ikhlash Lampoko,Positive,20.0,Pembinaan Karakter,MasyaAllah SANTRI PPM AL-IKHLASH SERAHKAN BANTUAN UNTUK KORBAN KEBAKARAN DI DESA BONNE-BONNE
2,Isnan Ihsan,Pimpinan Pondok terkeren,Pimpinan Al-Ikhlash Menerima Kunjungan Pengurus KKS (Kerukunan Keluarga Sulawesi) Kairo,PPM AL-Ikhlash Lampoko,Positive,15.0,Akademik,Pimpinan Pondok terkeren Pimpinan Al-Ikhlash Menerima Kunjungan Pengurus KKS (Kerukunan Keluarga Sulawesi) Kairo
3,Paud Tigaserangkai,Sehat selalu pak ustaz. Aamiin,Pimpinan Al-Ikhlash Menerima Kunjungan Pengurus KKS (Kerukunan Keluarga Sulawesi) Kairo,PPM AL-Ikhlash Lampoko,Positive,22.0,Akademik,Sehat selalu pak ustaz. Aamiin Pimpinan Al-Ikhlash Menerima Kunjungan Pengurus KKS (Kerukunan Keluarga Sulawesi) Kairo
4,Nur Aliyah,Semangat anak solehnya ummi..d mudahkan nak..d lancarkan semuanya..amin ya rabbal Al Amin..,"Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash.",PPM AL-Ikhlash Lampoko,Positive,47.0,Lingkungan,"Semangat anak solehnya ummi..d mudahkan nak..d lancarkan semuanya..amin ya rabbal Al Amin.. Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash."
5,Nurlina Suardi,MasyaAllah,"Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash.",PPM AL-Ikhlash Lampoko,Positive,13.0,Lingkungan,"MasyaAllah Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash."
6,Muhammad Bakri,Aamiin...semoga kegiatan ini di lancarkan dan diberkati oleh Allah SWT 🤲,"Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash.",PPM AL-Ikhlash Lampoko,Positive,27.0,Lingkungan,"Aamiin...semoga kegiatan ini di lancarkan dan diberkati oleh Allah SWT 🤲 Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash."
7,Wahdi Windi,"Aamiin 🤲🏻🤲🏻🤲🏻_x000D_
Semoga dimudahkan dan dilancarkan nak Zaki...","Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash.",PPM AL-Ikhlash Lampoko,Positive,27.0,Lingkungan,"Aamiin 🤲🏻🤲🏻🤲🏻_x000D_
Semoga dimudahkan dan dilancarkan nak Zaki... Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash."
8,Nurafni Alimuchtar,MasyaAllah....semoga dimudahkan nak.. 🤲🤲🤲🤗🤗🤗,"Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash.",PPM AL-Ikhlash Lampoko,Positive,19.0,Lingkungan,"MasyaAllah....semoga dimudahkan nak.. 🤲🤲🤲🤗🤗🤗 Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash."
9,Karmila Fahisillah,MasyaAllah 🤗,"Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash.",PPM AL-Ikhlash Lampoko,Positive,13.0,Lingkungan,"MasyaAllah 🤗 Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash."
10,Paud Tigaserangkai,Semangat &sukses ya nak. Aamiin,"Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash.",PPM AL-Ikhlash Lampoko,Positive,23.0,Lingkungan,"Semangat &sukses ya nak. Aamiin Alhamdulillah., Ananda Muh. Dzaki As Syafiq akan melaksanakan Tasmi' Al-Qur'an pada pukul 04.00 WITA sore di Pondok Pesantren Modern Al-Ikhlash."
