no,ponpes,text_combined,sentimen_lexicon,aspek_manual
1,PPM AL-Ikhlash Lampoko,masyaallah santri ppm al ikhlash serah bantu korban bakar desa bonne bonne,Negatif,Umum
2,PPM AL-Ikhlash Lampoko,pimpin pondok keren pimpin al ikhlash terima kunjung urus kks rukun keluarga sulawesi kairo,Negatif,Kegiatan Pondok
3,PPM AL-Ikhlash Lampoko,sehat selalu pak ustaz aamiin pimpin al ikhlash terima kunjung urus kks rukun keluarga sulawesi kairo,Negatif,Kegiatan Pondok
4,PPM AL-Ikhlash Lampoko,semangat anak solehnya ummi d mudah nak d lancar semua amin rabbal al amin alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Negatif,Umum
5,PPM AL-Ikhlash Lampoko,masyaallah alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum
6,PPM AL-Ikhlash Lampoko,aamiin moga giat di lancar kati allah swt alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum
7,PPM AL-Ikhlash Lampoko,aamiin xd moga mudah lancar nak zaki alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum
8,PPM AL-Ikhlash Lampoko,masyaallah moga mudah nak alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum
9,PPM AL-Ikhlash Lampoko,masyaallah alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum
10,PPM AL-Ikhlash Lampoko,semangat sukses nak aamiin alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum
11,PPM AL-Ikhlash Lampoko,masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Netral,Umum
12,PPM AL-Ikhlash Lampoko,jenjang didik apa peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Negatif,Umum
13,PPM AL-Ikhlash Lampoko,masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Netral,Umum
14,PPM AL-Ikhlash Lampoko,masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Netral,Umum
15,PPM AL-Ikhlash Lampoko,sayang ribu sayang anandaqu moga lebih tingkat bahasa arab peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Negatif,Umum
16,PPM AL-Ikhlash Lampoko,masyaallah peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Netral,Umum
17,PPM AL-Ikhlash Lampoko,masya allah luar biasa ustad moga berkah aamiin peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Positif,Umum
18,PPM AL-Ikhlash Lampoko,semangat sukses nak arya aamiin ananda raydarya shabrafif laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,Positif,Umum
19,PPM AL-Ikhlash Lampoko,selamat nak moga amanah alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Motivasi/Spiritual
20,PPM AL-Ikhlash Lampoko,alhamdulillah selamat tugas nak alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Umum
21,PPM AL-Ikhlash Lampoko,mantap pilih milu alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Motivasi/Spiritual
22,PPM AL-Ikhlash Lampoko,selamat nak lubnah maysuri doa selalu panjang umur alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Motivasi/Spiritual
23,PPM AL-Ikhlash Lampoko,selamat nak muslim pilih jadi ketua ospi tahun rangkul semua teman temanta saudarata nak biar bangga jadi bagi alumni pondok pesantren modern al ikhlash alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual
24,PPM AL-Ikhlash Lampoko,selamat atas nama muslim ketua ospi putra alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual
25,PPM AL-Ikhlash Lampoko,bangga sekali teman pondok pesantren modern al ikhlas alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual
26,PPM AL-Ikhlash Lampoko,selamat nak muslim pilih jadi ketua ospi tahun xd rangkul semua teman temanta saudarata nak biar bangga jadi bagi alumni pondok pesantren modern al ikhlash alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual
27,PPM AL-Ikhlash Lampoko,selamat nak muslim moga berkah amanah jalan tugas alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual
28,PPM AL-Ikhlash Lampoko,assalamualaikum warahmatullahi wabarakatu sembah pondok pesantren modern al ikhlas doa kalian jadi orang baik sukses pilih ketua ospi putri,Positif,Kegiatan Pondok
29,PPM AL-Ikhlash Lampoko,sukses selalu dik pilih ketua ospi putri,Positif,Motivasi/Spiritual
30,PPM AL-Ikhlash Lampoko,seht sllu ank santri bersma bina pilih ketua ospi putri,Negatif,Motivasi/Spiritual
31,PPM AL-Ikhlash Lampoko,masyaallah smoga mudah lancar nak ananda rafli hardiansyah laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,Negatif,Umum
32,PPM AL-Ikhlash Lampoko,maasyaallah tabarakallah moga istiqomah nak ananda farham laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,Netral,Umum
33,PPM AL-Ikhlash Lampoko,masyaallah nanda farhan moga ttp istiqomah tembus jus ananda farham laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,Positif,Umum
34,PPM AL-Ikhlash Lampoko,masya allah xd syukron ustadz xd jdi nang liat video xd sehatq semua anak soleh soleha selamat hari ibu,Positif,Kegiatan Pondok
35,PPM AL-Ikhlash Lampoko,masya allah sehat semua nak xd alhamdulillah selamat hari ibu,Positif,Kegiatan Pondok
36,PPM AL-Ikhlash Lampoko,masyaallah terimakasih ustadz sehat selalu sama santri santriwati nya selamat hari ibu,Positif,Kegiatan Pondok
37,PPM AL-Ikhlash Lampoko,masya allah amma yoyo smg sehat sll selamat hari ibu,Positif,Kegiatan Pondok
38,PPM AL-Ikhlash Lampoko,slmt libur nk smoga sht kembli nnti pondok santri ppm al ikhlash terima rapor kembali rumah,Positif,Umum
39,PPM AL-Ikhlash Lampoko,selamat libur nk moga sht selalu ki ke pondok pesantren modern al ikhlas ,Positif,Umum
40,PPM AL-Ikhlash Lampoko,moga sukses semuax yyasanx tambah maju aamiinyra pilih duta bahasa tutup festival mahluwa,Negatif,Prestasi
41,PPM AL-Ikhlash Lampoko,terima kasih ustaz ustazah ppm al ikhlas lampoko beri ilmu kpd anak terus gerak maju siap putra putri km iman akhlak mulia aamiin dokumentasi lomba drama,Positif,Umum
42,PPM AL-Ikhlash Lampoko,sehat n sukses semua anak soleh dokumentasi lomba volleyball putra,Negatif,Kegiatan Pondok
43,PPM AL-Ikhlash Lampoko,alhamdulillah moga bina bina ank ank santri sehat sllu sy orang tua santri rapat evaluasi bulan,Negatif,Motivasi/Spiritual
44,PPM AL-Ikhlash Lampoko, pondok pesantren modern al ikhlash lampoko lepas santri alumni lulus al azhar mesir,Positif,Umum
45,PPM AL-Ikhlash Lampoko,masya allah selamat buat ananda fatur reza moga sukses selalu pondok pesantren modern al ikhlash lampoko lepas santri alumni lulus al azhar mesir,Positif,Umum
46,PPM AL-Ikhlash Lampoko,masya allah moga lain bsa pondok pesantren modern al ikhlash lampoko lepas santri alumni lulus al azhar mesir,Positif,Umum
47,PPM AL-Ikhlash Lampoko,selamat hari guru seluruh guru guru guru guru semua berkat bimbing hari kami sempat sama ustads ustadzah damping santri santriwati pondok pesantren modern al ikhlash moga nila ibadah sisi allah swt senantiasa limpah rahmat hidayah kita semua santri ppm al ikhlash gelar upacara ingat hari guru nasional,Positif,Kegiatan Pondok
48,PPM AL-Ikhlash Lampoko,terima kasih guru guru hebat ppm al ikhlas lampoko jasa tiada tara moga sehat selalu panjang umur penuh keberhan aamiin selamat hari guru nasional tahun,Positif,Sosial
49,PPM AL-Ikhlash Lampoko,selamat sukses dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas
50,PPM AL-Ikhlash Lampoko,terima kasih atas support doa ustadz pondok dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas
51,PPM AL-Ikhlash Lampoko,alhamdulillah luar biasa nanda dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas
52,PPM AL-Ikhlash Lampoko,anak nya kak ridwan samual ee saluut nak moga makin sukses depan dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas
53,PPM AL-Ikhlash Lampoko,masyaallah selamat yach nak moga lebih baik depan dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas
54,PPM AL-Ikhlash Lampoko,selamat nak semangat dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas
55,PPM AL-Ikhlash Lampoko,beda rangking beda kelas lantik bantara jenderal sudirman,Negatif,Lingkungan
56,PPM AL-Ikhlash Lampoko,syukur alhamdulillah semangat terus ainun aulia zulkifli dapat gelar best intelegensia duta ajar sulawesi barat tahun,Positif,Fasilitas
57,PPM AL-Ikhlash Lampoko,alhamdulillah slamat ats prestasix dn sukses slalu muh akhsay saputra atas prestasi raih juara pilih jadi duta ajar sulawesi barat tahun,Negatif,Fasilitas
58,PPM AL-Ikhlash Lampoko,selamat nanda akhsay selamat buat ppm al ikhlas lampoko ,Positif,Umum
59,PPM AL-Ikhlash Lampoko,masyaallah selamat nak ,Positif,Kegiatan Pondok
60,PPM AL-Ikhlash Lampoko,masya allah sukses sllu anak sholeh sholeha momen beri hadiah santri ppm al ikhlash lampoko juara festival anak sholeh sholehah tingkat smp mts se polewali mandar uptd sman wonomulyo,Negatif,Akademik
61,PPM AL-Ikhlash Lampoko,masya allah xd titip salam buat ustadz said xd moga sehat selalu aamiin tutup juara pencak silat antar santri ppm al ikhlash,Positif,Umum
62,PPM AL-Ikhlash Lampoko,luar biasa tutup juara pencak silat antar santri ppm al ikhlash,Negatif,Umum
63,PPM AL-Ikhlash Lampoko,masya allah tutup juara pencak silat antar santri ppm al ikhlash,Positif,Umum
64,PPM AL-Ikhlash Lampoko,mungkin begitu kira jadi sama anak ku fadlan dwi ananda sdh tahun di pondok tinggal injak doang beda santri baru santri lama cara cuci baju,Negatif,Lingkungan
65,PPM AL-Ikhlash Lampoko,ada group wa org tua wali beda santri baru santri lama cara cuci baju,Negatif,Lingkungan
66,PPM AL-Ikhlash Lampoko,mungkin juga anak kalo cuci kasi nabil annisar sdh hampir thn mondok al ikhlas beda santri baru santri lama cara cuci baju,Negatif,Lingkungan
67,PPM AL-Ikhlash Lampoko,wahh kalo cowok beda santri baru santri lama cara cuci baju,Negatif,Lingkungan
68,PPM AL-Ikhlash Lampoko,fakhri dulu nainjak injak beda santri baru santri lama cara cuci baju,Negatif,Lingkungan
69,PPM AL-Ikhlash Lampoko, beda santri baru santri lama cara cuci baju,Negatif,Lingkungan
70,PPM AL-Ikhlash Lampoko,selamat nak ku semua khusus mutiara muthi ah bahri semangat sehat sukses selalu selamat sukses santri santri wati telah raih juara festival anak sholeh sholehah antar smp mts se polewali mandar uptd sman wonomulyo,Positif,Akademik
71,PPM AL-Ikhlash Lampoko,masyaallah sukses semua anak telah toreh ptestasi inshaallah kelak akan jadi bekal jawab tantang lbh sulit masa datang ucap terimakasih setinggi para ustad n ustadzah telah bimbing n ajar ilmu tdk nilai anak hingga antar anak pondok pesantren al ikhlas lampoko raih prestasi khusus ananda alfarizqi prestasi tdk henti smp sini nak terus asah mampu n bakat sukses buat semua anakq selamat sukses santri santri wati telah raih juara festival anak sholeh sholehah antar smp mts se polewali mandar uptd sman wonomulyo,Negatif,Akademik
72,PPM AL-Ikhlash Lampoko,selamat atas capai semua selamat sukses santri santri wati telah raih juara festival anak sholeh sholehah antar smp mts se polewali mandar uptd sman wonomulyo,Netral,Akademik
